ID,UNIVERSITY,CARNEGIE,DEGREE LEVEL,DEGREE,YEAR STARTED,REMOVE?,URL,CATEGORY,DEGREE RECODED,DATA SCIENCE,DEPARTMENT,DEPARTMENT RECODED,ONLINE,ON CAMPUS,COUNTRY,STATE,CITY,DOCS MADE?,CONTACT EMAIL,CONTACT NAME,ETHICS COURSE,ETHICS REQ,SKILLS,COURSES,MISSION,Notes,,# of COURSES
001,Auburn University,R2,C,Graduate Certificate in Business Analytics,,,http://harbert.auburn.edu/academics/graduate-certificates/business-analytics/,Business,Business Analytics,FALSE,Raymond J. Harbert College of Business,Business/Management,T,T,US,AL,Auburn,T,gradcor@auburn.edu,Dianne Hall,None,,T,T,T,,,TRUE
002,Auburn University,R2,B,Data Science,,,http://harbert.auburn.edu/academics/undergraduate/business-analytics/index.php,Data,Data Science,TRUE,Raymond J. Harbert College of Business,Business/Management,F,T,US,AL,Auburn,T,mitraam@auburn.edu,Amit Mitra,None,,T,T,T,,,TRUE
003,University of Alabama,R1,M,"Master of Science in Marketing, Specialization in Marketing Analytics",,,https://bamabydistance.ua.edu/degrees/ms-in-marketing-with-a-specialization-in-marketing-analytics/index.php,Business,Business Analytics,FALSE,Manderson Graduate School of Business,Business/Management,T,F,US,AL,Tuscaloosa,T,jjones@cba.ua.edu,Jan Jones,None,,T,T,T,,,TRUE
004,University of Alabama,R1,M,MS in Operations Management - Decision Analytics Track,,,https://bamabydistance.ua.edu/degrees/ms-in-operations-management-online/curriculum/decision-analytics-track.php,Business,Business Analytics,FALSE,Manderson Graduate School of Business,Business/Management,F,T,US,AL,Tuscaloosa,T,jjones@cba.ua.edu,Jan Jones,None,,T,T,T,,,TRUE
007,Arkansas Tech University,M1,B,Business Data Analytics,,,https://www.atu.edu/business/stulrn_busanalytics.php,Business,Business Analytics,FALSE,Business,Business/Management,F,T,US,AR,Russellville,T,smorris@atu.edu,Ms. Susan Morris,,,T,T,T,,,TRUE
009,University of Arkansas,R1,M,Master of Information Systems with Business Analytics Concentration,,,https://walton.uark.edu/graduate-programs/master-of-information-systems/index.php,Business,Business Analytics,FALSE,Sam M. Walton College of Business,Business/Management,F,T,US,AR,Fayetteville,T,mwaldie@walton.uark.edu,Mike Waldie,None,,T,T,T,,,TRUE
015,Arizona State University,R1,B,Business Data Analytics,,,https://wpcarey.asu.edu/undergraduate-degrees/business-data-analytics,Business,Business Analytics,FALSE,W.P. Carey School of Business,Business/Management,F,T,US,AZ,Tempe,T,Bin.Gu@asu.edu,Bin Gu,LES 305: Business Law and Ethics for Managers,????,T,T,T,,,TRUE
016,Arizona State University,R1,M,Master of Science in Business Analytics,2013,,https://wpcarey.asu.edu/masters-programs/business-analytics,Business,Business Analytics,FALSE,W.P. Carey School of Business,Business/Management,T,F,US,AZ,Tempe,T,,,,,T,T,T,,,TRUE
018,California Polytechnic State University,M1,B,Data Science Minor,,,https://statistics.calpoly.edu/data-science-minor,Data,Data Science,TRUE,College of Science and Mathematics,Mathematics/Statistics,F,T,US,CA,San Luis Obispo,T,hglanz@calpoly.edu,Dr. Hunter Glanz ,None,,T,T,T,,,TRUE
019,California State University – East Bay,M1,M,Master of Science in Business Administration: Business Analytics Option,2015,,https://www.csueastbay.edu/msba/index.html,Business,Business Analytics,FALSE,College of Business and Economics,Business/Management,T,F,US,CA,Hayward,T,"chongqi.wu@csueastbay.edu, jiming.wu@csueastbay.edu ","Dr. Chongqi Wu
Program Co-Director
chongqi.wu@csueastbay.edu 

Dr. Jiming Wu
Program Co-Director
jiming.wu@csueastbay.edu ",None,,T,T,T,,,TRUE
021,California State University – Fullerton,R3,C,Certificate in Data Science,,,https://extension.fullerton.edu/professionaldevelopment/certificates/data-science,Data,Data Science,TRUE,University Extended Education,Data Science,T,F,US,CA,Fullerton,T,UEEinfo@fullerton.edu,General university contact email,None,,T,T,T,,,TRUE
023,California State University – Fullerton,R3,M,MBA with Business Analytics,,,https://catalog.fullerton.edu/preview_program.php?catoid=2&poid=473&returnto=143,Business,Business Analytics,FALSE,Mihaylo College of Business and Economics,Business/Management,F,T,US,CA,Fullerton,T,UEEinfo@fullerton.edu,General university contact email,MGMT 518 - Legal and Ethical Environment of Business (3),F,F,T,T,,,TRUE
