document,quotation,codes,comment
0002 [B] Data Science.docx,"
BUAL 5650 BIG DATA I
BUAL 5660 BIG DATA II
BUAL 5600 PREDICTIVE MODELING I 
BUAL 5610 PREDICTIVE MODELING II
BUAL 5860 COMMUNICATING QUANTITATIVE RESULTS IN BUSINESS
",Courses,
0002 [B] Data Science.docx,"
Students learn how to approach business problems by asking the right questions, identifying the data needed to answer the question, analyzing the data, and communicating the analytical results to clients and executives in terms of the business context.

",Skills,
"0003 [M] Master of Science in Marketing, Specialization in Marketing Analytics.docx","
MKT 530 Advanced Marketing Analysis
IBA 550 Global Business
IBA 555 Global Marketing Management
IBA 560 Advanced Import/Export Strategy
MKT 596 Capstone Project
Marketing Elective
Statistics Courses
ST 560 Statistical Methods
ST 521 Statistical Data Management
ST 522 Advanced Statistical Data Management
ST 531 Data Mining I
ST 532 Advanced Data Mining
",Courses,
"0003 [M] Master of Science in Marketing, Specialization in Marketing Analytics.docx","
This degree program will teach you to evaluate marketing campaigns based on a myriad of data - a skill set that is much-needed in our current workplace. You will also develop other critical skills such as communication and time management. 
","Impact, Skills",
"0003 [M] Master of Science in Marketing, Specialization in Marketing Analytics.docx","
Along with traditional marketing courses like Product Design Marketing Strategy and Global Market Management, you will also take courses such as Data Mining and Advanced Marketing Analysis.
",Courses,
"0003 [M] Master of Science in Marketing, Specialization in Marketing Analytics.docx","
This degree program will teach you to evaluate marketing campaigns based on a myriad of data 
",Mission,
0004 [M] MS in Operations Management - Decision Analytics Track.docx,"
Students interested in a curriculum that combines the prescriptive modeling and analytical skills arising from UA's Operations Management program with the data management and data mining skills arising from UA's Statistical Analysis System (SAS)/Data Mining certification program
","Target group, Skills",
0004 [M] MS in Operations Management - Decision Analytics Track.docx,"
*Required Courses (21 hours)

ST 560 Statistical Methods I
ST 521 Statistical Data Management
ST 531 Knowledge Discovery and Data Mining I
ST 532 Advanced Data Mining
OM 500 Management Science and Spreadsheet Modeling
OM 540 Systems Simulation
 OM 596 Capstone Project (complete in one of the last two semesters) 
Decision Analytics Electives (6 hours)

Choose two courses
OM 517 Supply Chain Modeling and Analysis
OM 522 Production Scheduling Problems
OM 523 Inventory Management
OM 524 Manufacturing Scheduling and Control Systems
Decision Analytics Restricted Elective (3 hours)

Choose one course
ST 522 Advanced Statistical Data Management
MIS 541 Business Analytics Support Systems
","Courses, Requirements",
0007 [B] Business Data Analytics.docx,"
 certificates are gateway products that lead some students to become matriculated.
",Broader impact,
0007 [B] Business Data Analytics.docx,"
IS 6040 Business Analytics

IS 6260 Network Analysis

IS 6280 Data Mining for Business Intelligence

IS 6360 Big Data
",Courses,
0007 [B] Business Data Analytics.docx,"
The Professional Certificate in Business Analytics involves information technologies, applications, and practices for collection, integration, analysis, and presentation of business data and information to gain insight and drive business planning.
","Mission, Skills",
0007 [B] Business Data Analytics.docx,"
This certificate will appeal to working professionals who are interested gaining additional knowledge in information systems and business analytics that enable companies to be more competitive
","Target group, Impact",
0009 [M] Master of Information Systems with Business Analytics Concentration.docx,"
ISYS 5423 Seminar in Systems Development
ISYS 5833 Data Management Systems
ISYS 5943 Management of Information Technology Seminar
Areas of Concentration (choose one) 15 credit hours
Enterprise Resource Planning (ERP) Management
Enterprise Systems (ES) Management
Information Technology Management
Software Engineering Management
Electives (advisor approval) 6 credit hours
",Courses,
0009 [M] Master of Information Systems with Business Analytics Concentration.docx,"
As an MIS student, you develop leadership, communication, problem-solving, and analytical skills that are sought after by leading employers around the world.
",Skills,
0009 [M] Master of Information Systems with Business Analytics Concentration.docx,"
Employers around the world seek to recruit and retain top talent who can assume technology leadership roles. The Master of Information Systems degrees offered by Walton College are designed to groom these leaders
","Impact, Mission, Jobs",
0015 [B] Business Data Analytics.docx,"
Big Data Analytics and Visualization in Business

Business Data Mining

Business Data Warehouses and Dimensional Modeling

Business Database Systems Development

Business Decision Models

Business Information Systems Development

Enterprise Analytics

Introduction to Business Data Analytics

Logistics Management

Marketing and Business Performance

Organizations and Management leadership

Planning and Control Systems for Supply Chain Management

Social Media and Content Marketing

Web Design and Development
",Courses,
0015 [B] Business Data Analytics.docx,"
 The W. P. Carey degree in business data analytics gives you the tools to launch a dynamic career with global potential, in a business world increasingly ruled by data.


",Mission,
0015 [B] Business Data Analytics.docx,"
The business data analytics degree teaches you to create and manage Big Data initiatives, as well as associated business processes that facilitate large-scale analytics solutions in organizations
",Impact,
0015 [B] Business Data Analytics.docx,"
The business data analytics degree teaches you to create and manage Big Data initiatives, as well as associated business processes that facilitate large-scale analytics solutions in organizations
",Skills,
0016 [M] Master of Science in Business Analytics.docx,"
REQUIRED CORE COURSES (3 credits)

MIS 536 – Business Analytics Foundation*

SAMPLE ELECTIVE COURSES (9 credits)

MIS 533 – Data Management for Decision Makers*

MIS 532 – Business Analytics Applications & Development

MIS 538 – Business Process Management

MIS 539 – Topics in Business Analytics*

MIS 541 – Analytics in Finance and Insurance

MIS 544 – Social Media Analytics*

MIS 546 – Advanced Business Analytics*

MKT 552 – Marketing Analytics

MIS 515 – Business Data

STAT 526 – Applied Statistics Modeling*

STAT 528 – Data Visualization and Communication*
",Courses,
0016 [M] Master of Science in Business Analytics.docx,"
The graduate certificate in business analytics will build the necessary competency to deploy analytic skills and capabilities in various areas of business such as marketing, supply chains, operations, forensics, and risk management. 
",Skills,
0016 [M] Master of Science in Business Analytics.docx,"
The certificate is designed for graduate students and working professional currently employed or seeking job opportunities as business analysts, analytic systems designers, or data scientists who deal with problems arising in the contexts of business decision-making.
","Impact, Target group",
0016 [M] Master of Science in Business Analytics.docx,"
The graduate certificate in business analytics will address the challenges of dealing with issues of “big data” and its analysis to extract actionable insights.
",Mission,
0016 [M] Master of Science in Business Analytics.docx,"
equips business professionals with the basic analytic concepts and techniques necessary in various areas of business such as marketing, supply chain, operations, forensics, and risk management.
","Impact, Skills",
0016 [M] Master of Science in Business Analytics.docx,"
Students will have a foundation in data management, business analytics, modeling, and communicating through data visualization.
",Skills,
0018 [B] Data Science Minor.docx,"
equip its graduate with the necessary

advanced mathematics and statistical knowledge and

skills that prepares them to find solutions to

mathematics or statistics problems arising in other

academic fields and in areas outside the normal

academic setting and to use this knowledge to solve

society problems of challenge. 
",Skills,
0018 [B] Data Science Minor.docx,"
The program aims for

national and international distinction in preparing

mathematics students for a spectrum of careers

including academic and non-academic employment.
",Jobs,
0018 [B] Data Science Minor.docx,"
The Department of Mathematics and Statistical

Sciences aims to equip its graduate with the necessary

advanced mathematics and statistical knowledge and

skills that prepares them to find solutions to

mathematics or statistics problems arising in other

academic fields and in areas outside the normal

academic setting and to use this knowledge to solve

society problems of challenge
",Mission,
0018 [B] Data Science Minor.docx,"
Curriculum

Requirements for students with a Bachelor’s

Degree

Common Core 12 credit hours

Track Requirements 12 credit hours

Track Electives 24 credit hours

Dissertation At most 24 credit

hours

Total 72 credit hours*

*Minimum requirements; additional requirements

may be recommended by the Doctoral Committee

Common Core Courses (12 hrs)


",Requirements,
0018 [B] Data Science Minor.docx,"
Curriculum

Requirements for students with a Bachelor’s

Degree

Common Core 12 credit hours

Track Requirements 12 credit hours

Track Electives 24 credit hours

Dissertation At most 24 credit

hours

Total 72 credit hours*

*Minimum requirements; additional requirements

may be recommended by the Doctoral Committee

Common Core Courses (12 hrs)


",Requirements,
0018 [B] Data Science Minor.docx,"
CSC 552 Applied Programming 3

CSC 601 Computing Algorithms 3

CSC 620 Database Management

Systems 3

STAT

672

Computational Statistics

3

or

STAT

661

Advanced Probability and

Statistics 3
",Courses,
0019 [M] Master of Science in Business Administration Business Analytics Option.docx,"
designed for students and business professionals with a background in computer science, statistics and mathematics
",Target group,
0019 [M] Master of Science in Business Administration Business Analytics Option.docx,"
a mastery understanding of business analytics, such as business intelligence and big data analytics
",Impact,
0019 [M] Master of Science in Business Administration Business Analytics Option.docx,"
Python/R, database, data warehousing, data mining, text mining and web analytics, big data analytics (Hadoop, MapReduce, Pig, Hive, etc.), and optimized decision making
","Tools, Skills",
0019 [M] Master of Science in Business Administration Business Analytics Option.docx,"
The program will also broaden students’ understanding of business analytics through the prism of its implementation and utilization in various functional areas of business.
",Impact,
0019 [M] Master of Science in Business Administration Business Analytics Option.docx,"
Provide hands-on experience and in-depth study of important analytics topics
",Mission,
0019 [M] Master of Science in Business Administration Business Analytics Option.docx,"
database management, data warehousing, data mining, big data technologies such as Hadoop, MapReduce, Hive, Pig, and HBase, and predictive and prescriptive analytics along with popular software in analytics
","Tools, Skills",
0019 [M] Master of Science in Business Administration Business Analytics Option.docx,"
Provide hands-on experience and in-depth study of important analytics topics
",,
0019 [M] Master of Science in Business Administration Business Analytics Option.docx,"
Offer students opportunities to apply business analytics to various business functions including marketing, finance, human resources, operations and supply chain management, etc.
",Impact,
