degree_id,quote_id,course
2,647,BUAL 5650 BIG DATA I
2,647,BUAL 5660 BIG DATA II
2,647,BUAL 5600 PREDICTIVE MODELING I 
2,647,BUAL 5610 PREDICTIVE MODELING II
2,647,BUAL 5860 COMMUNICATING QUANTITATIVE RESULTS IN BUSINESS
3,1774,MKT 530 Advanced Marketing Analysis
3,1774,IBA 550 Global Business
3,1774,IBA 555 Global Marketing Management
3,1774,IBA 560 Advanced Import/Export Strategy
3,1774,MKT 596 Capstone Project
3,1774,Marketing Elective
3,1774,Statistics Courses
3,1774,ST 560 Statistical Methods
3,1774,ST 521 Statistical Data Management
3,1774,ST 522 Advanced Statistical Data Management
3,1774,ST 531 Data Mining I
3,1774,ST 532 Advanced Data Mining
3,480,"Along with traditional marketing courses like Product Design Marketing Strategy and Global Market Management, you will also take courses such as Data Mining and Advanced Marketing Analysis."
4,306,*Required Courses (21 hours)
4,306,
4,306,ST 560 Statistical Methods I
4,306,ST 521 Statistical Data Management
4,306,ST 531 Knowledge Discovery and Data Mining I
4,306,ST 532 Advanced Data Mining
4,306,OM 500 Management Science and Spreadsheet Modeling
4,306,OM 540 Systems Simulation
4,306, OM 596 Capstone Project (complete in one of the last two semesters) 
4,306,Decision Analytics Electives (6 hours)
4,306,
4,306,Choose two courses
4,306,OM 517 Supply Chain Modeling and Analysis
4,306,OM 522 Production Scheduling Problems
4,306,OM 523 Inventory Management
4,306,OM 524 Manufacturing Scheduling and Control Systems
4,306,Decision Analytics Restricted Elective (3 hours)
4,306,
4,306,Choose one course
4,306,ST 522 Advanced Statistical Data Management
4,306,MIS 541 Business Analytics Support Systems
7,1589,IS 6040 Business Analytics
7,1589,
7,1589,IS 6260 Network Analysis
7,1589,
7,1589,IS 6280 Data Mining for Business Intelligence
7,1589,
7,1589,IS 6360 Big Data
9,1599,ISYS 5423 Seminar in Systems Development
9,1599,ISYS 5833 Data Management Systems
9,1599,ISYS 5943 Management of Information Technology Seminar
9,1599,Areas of Concentration (choose one) 15 credit hours
9,1599,Enterprise Resource Planning (ERP) Management
9,1599,Enterprise Systems (ES) Management
9,1599,Information Technology Management
9,1599,Software Engineering Management
9,1599,Electives (advisor approval) 6 credit hours
15,617,Big Data Analytics and Visualization in Business
15,617,
15,617,Business Data Mining
15,617,
15,617,Business Data Warehouses and Dimensional Modeling
15,617,
15,617,Business Database Systems Development
15,617,
15,617,Business Decision Models
15,617,
15,617,Business Information Systems Development
15,617,
15,617,Enterprise Analytics
15,617,
15,617,Introduction to Business Data Analytics
15,617,
15,617,Logistics Management
15,617,
15,617,Marketing and Business Performance
15,617,
15,617,Organizations and Management leadership
15,617,
15,617,Planning and Control Systems for Supply Chain Management
15,617,
15,617,Social Media and Content Marketing
15,617,
15,617,Web Design and Development
16,2036,REQUIRED CORE COURSES (3 credits)
16,2036,
16,2036,MIS 536 – Business Analytics Foundation*
16,2036,
16,2036,SAMPLE ELECTIVE COURSES (9 credits)
16,2036,
16,2036,MIS 533 – Data Management for Decision Makers*
16,2036,
16,2036,MIS 532 – Business Analytics Applications & Development
16,2036,
16,2036,MIS 538 – Business Process Management
16,2036,
16,2036,MIS 539 – Topics in Business Analytics*
16,2036,
16,2036,MIS 541 – Analytics in Finance and Insurance
16,2036,
16,2036,MIS 544 – Social Media Analytics*
16,2036,
16,2036,MIS 546 – Advanced Business Analytics*
16,2036,
16,2036,MKT 552 – Marketing Analytics
16,2036,
16,2036,MIS 515 – Business Data
16,2036,
16,2036,STAT 526 – Applied Statistics Modeling*
16,2036,
16,2036,STAT 528 – Data Visualization and Communication*
18,968,CSC 552 Applied Programming 3
18,968,
18,968,CSC 601 Computing Algorithms 3
18,968,
18,968,CSC 620 Database Management
18,968,
18,968,Systems 3
18,968,
18,968,STAT
18,968,
18,968,672
18,968,
18,968,Computational Statistics
18,968,
18,968,3
18,968,
18,968,or
18,968,
18,968,STAT
18,968,
18,968,661
18,968,
18,968,Advanced Probability and
18,968,
18,968,Statistics 3
19,3198,TWO PREREQUISITE COURSES* (6 UNITS):
19,3198,
19,3198,BAN 601 - Technology Fundamentals for Analytics (3)
19,3198,
19,3198,"This course covers technologies for developing analytics applications. Topics include: fundamentals of business programming, sequential file processing, detail and summary reporting, and data validation. A-F grading only.Minimum grade requirement: B-."
19,3198,
19,3198,BAN 602 - Quantitative Fundamentals for Analytics (3)
19,3198,
19,3198,"Fundamental quantitative methods with software. Topics include: programming for data analysis, computational linear algebra, and quantitative methods. A-F grading only. Minimum grade requirement: B-."
19,3198,
19,3198,REQUIRED COURSES (18 UNITS)
19,3198,
19,3198,"Required courses will be taught with modern data analytics programming languages and tools, e.g., SQL, Hadoop, SAS, R, Python, Excel-based add-ins, etc."
19,3198,
19,3198,BAN 610 Database Management and Applications (3)
19,3198,
19,3198,"Data modeling, database design and implementation, database administration, and database applications. Topics include: database design, incorporating business rules into entity-relationship (ER) models, transformation of an ER model into a relational database design, normalization of database tables, and SQL languages. Prerequisites: BAN 601 and BAN 602 or consent of instructor. A-F grading only."
19,3198,
19,3198,BAN 612 Data Analytics (3)
19,3198,
19,3198,"Data collection, preparation, visualization, and analysis with software applications. Topics include: web scraping, Application Program Interface (API) data collection, data wrangling, visualization, data type and structure, and computational and quantitative methods. Prerequisites: BAN 601 and BAN 602 or consent of instructor. A-F grading only."
19,3198,
19,3198,BAN 620 Data Mining (3)
19,3198,
19,3198,"Course introduces the fundamental concepts of data mining and provides extensive hands-on experience in applying the concepts to real-world applications. Topics include dimension reduction, classification, association analysis, clustering and model evaluation techniques. Business applications of data mining techniques are emphasized.Prerequisites: BAN 602 or consent of instructor. A-F grading only."
19,3198,
19,3198,BAN 622 Data Warehousing and Business Intelligence (3)
19,3198,
19,3198,"Data warehousing and business intelligence concepts, design, implementation, and software tools. Topics include data warehouse architecture, dimensional model design, data integration and visualization, business intelligence reporting and dashboards. Prerequisites: BAN 610 or consent of instructor. A-F grading only."
19,3198,
19,3198,BAN 630 Optimization Methods for Analytics (3)
19,3198,
19,3198,"Determining the best solution among various choices, suggesting decision options, and illustrating the implications of each option. Topics include: optimization methods, queuing models, simulation, and application-based software.Prerequisites: BAN 602 or consent of instructor. A-F grading only."
19,3198,
19,3198,BAN 632 Big Data Technology and Applications (3)
19,3198,
19,3198,"This course covers key technologies and applications for big data analytics. Topics include: distributed file systems, big data input/output, streaming technologies, techniques for parallel processing, and big data application development.Prerequisites: BAN 601 and BAN 602 or consent of instructor. A-F grading only."
19,3198,
19,3198,ELECTIVE COURSES (9 UNITS)
19,3198,
19,3198,Select three courses from the following:
19,3198,
19,3198,BAN 660 Advanced Topics in Big Data
19,3198,
19,3198,"Newest technologies for Big Data analytics. Topics include: new tools, algorithms, and platforms for Big Data storage, processing, analysis, visualization, and application."
19,3198,
19,3198,BAN 670 Advanced Topics in Analytics
19,3198,
19,3198,"Recent development in various topics of analytics, which include, but not limited to, advanced data visualization, machine learning, text mining and web analytics, natural language processing, and industrial applications of data analytics."
19,3198,
19,3198,BAN 671 Data Analytics with R
19,3198,
19,3198,"Focus on applying business analytics techniques using R programming. Emphasis on using R syntax and packages for data manipulation, visualization and advanced analytics in the context of business environment."
19,3198,
19,3198,BAN 672 Data Analytics with SAS
19,3198,
19,3198,"Focus on applying business analytics techniques using SAS programming. Emphasis on using SAS syntax and modules for data manipulation, visualization and advanced analytics to solve real world business problems."
19,3198,
19,3198,BAN 673 Time Series Analytics
19,3198,
19,3198,"Introduces fundamental concepts and methods of time series analytics. Topics include evaluation of data patterns, moving averages, smoothing models, regression-based forecasting, and ARIMA models. Emphasis is on hands-on experience in applying time series analytics in business."
19,3198,
19,3198,BAN 674 Machine Learning for Business Analytics
19,3198,
19,3198,"Covers key topics in machine learning and their applications to business, including but not limited to, supervised and unsupervised learning, regularization, anomaly detection, and recommender systems."
19,3198,
19,3198,BAN 675 Text Mining and Social Media Analytics
19,3198,
19,3198,"Covers basic natural language processing techniques, document representation, text categorization, sentiment analysis, topic modeling, text visualization, and social media analytics."
19,3198,
19,3198,BAN 676 Deep Learning for Business Applications
19,3198,
19,3198,"Concepts, design and implementation of deep learning models for business analytics. Topics include Deep Neural Networks, Convolutional Neural Networks, Recurrent Neural Networks such as Long Short Term Memory and business value of deep learning technology."
19,3198,
19,3198,MKTG 612 Marketing Analytics
19,3198,
