degree_id,course_id,course
2,2599,BUAL 5650 BIG DATA I
2,2600,BUAL 5660 BIG DATA II
2,2597,BUAL 5600 PREDICTIVE MODELING I 
2,2598,BUAL 5610 PREDICTIVE MODELING II
2,2601,BUAL 5860 COMMUNICATING QUANTITATIVE RESULTS IN BUSINESS
3,10172,MKT 530 Advanced Marketing Analysis
3,7611,IBA 550 Global Business
3,7612,IBA 555 Global Marketing Management
3,7613,IBA 560 Advanced Import/Export Strategy
3,10181,MKT 596 Capstone Project
3,8986,Marketing Elective
3,12877,Statistics Courses
3,12161,ST 560 Statistical Methods
3,12149,ST 521 Statistical Data Management
3,12152,ST 522 Advanced Statistical Data Management
3,12153,ST 531 Data Mining I
3,12156,ST 532 Advanced Data Mining
3,1432,"Along with traditional marketing courses like Product Design Marketing Strategy and Global Market Management, you will also take courses such as Data Mining and Advanced Marketing Analysis."
4,336,*Required Courses (21 hours)
4,1,
4,12162,ST 560 Statistical Methods I
4,12149,ST 521 Statistical Data Management
4,12155,ST 531 Knowledge Discovery and Data Mining I
4,12156,ST 532 Advanced Data Mining
4,10704,OM 500 Management Science and Spreadsheet Modeling
4,10713,OM 540 Systems Simulation
4,75, OM 596 Capstone Project (complete in one of the last two semesters) 
4,5507,Decision Analytics Electives (6 hours)
4,1,
4,3113,Choose two courses
4,10707,OM 517 Supply Chain Modeling and Analysis
4,10710,OM 522 Production Scheduling Problems
4,10711,OM 523 Inventory Management
4,10712,OM 524 Manufacturing Scheduling and Control Systems
4,5509,Decision Analytics Restricted Elective (3 hours)
4,1,
4,3091,Choose one course
4,12152,ST 522 Advanced Statistical Data Management
4,10060,MIS 541 Business Analytics Support Systems
7,8259,IS 6040 Business Analytics
7,1,
7,8260,IS 6260 Network Analysis
7,1,
7,8261,IS 6280 Data Mining for Business Intelligence
7,1,
7,8263,IS 6360 Big Data
9,8531,ISYS 5423 Seminar in Systems Development
9,8535,ISYS 5833 Data Management Systems
9,8538,ISYS 5943 Management of Information Technology Seminar
9,1761,Areas of Concentration (choose one) 15 credit hours
9,6512,Enterprise Resource Planning (ERP) Management
9,6513,Enterprise Systems (ES) Management
9,7930,Information Technology Management
9,12052,Software Engineering Management
9,6420,Electives (advisor approval) 6 credit hours
15,2251,Big Data Analytics and Visualization in Business
15,1,
15,2793,Business Data Mining
15,1,
15,2795,Business Data Warehouses and Dimensional Modeling
15,1,
15,2796,Business Database Systems Development
15,1,
15,2798,Business Decision Models
15,1,
15,2812,Business Information Systems Development
15,1,
15,6502,Enterprise Analytics
15,1,
15,8127,Introduction to Business Data Analytics
15,1,
15,8773,Logistics Management
15,1,
15,8982,Marketing and Business Performance
15,1,
15,10900,Organizations and Management leadership
15,1,
15,11086,Planning and Control Systems for Supply Chain Management
15,1,
15,12026,Social Media and Content Marketing
15,1,
15,13964,Web Design and Development
16,11641,REQUIRED CORE COURSES (3 credits)
16,1,
16,10054,MIS 536 – Business Analytics Foundation*
16,1,
16,11778,SAMPLE ELECTIVE COURSES (9 credits)
16,1,
16,10053,MIS 533 – Data Management for Decision Makers*
16,1,
16,10052,MIS 532 – Business Analytics Applications & Development
16,1,
16,10056,MIS 538 – Business Process Management
16,1,
16,10057,MIS 539 – Topics in Business Analytics*
16,1,
16,10059,MIS 541 – Analytics in Finance and Insurance
16,1,
16,10062,MIS 544 – Social Media Analytics*
16,1,
16,10063,MIS 546 – Advanced Business Analytics*
16,1,
16,10175,MKT 552 – Marketing Analytics
16,1,
16,10048,MIS 515 – Business Data
16,1,
16,12453,STAT 526 – Applied Statistics Modeling*
16,1,
16,12460,STAT 528 – Data Visualization and Communication*
18,4456,CSC 552 Applied Programming 3
18,1,
18,4463,CSC 601 Computing Algorithms 3
18,1,
18,4464,CSC 620 Database Management
18,1,
18,13180,Systems 3
18,1,
18,12246,STAT
18,1,
18,1004,672
18,1,
18,3491,Computational Statistics
18,1,
18,708,3
18,1,
18,10832,or
18,1,
18,12246,STAT
18,1,
18,1003,661
18,1,
18,1356,Advanced Probability and
18,1,
18,12868,Statistics 3
19,13844,TWO PREREQUISITE COURSES* (6 UNITS):
19,1,
19,1907,BAN 601 - Technology Fundamentals for Analytics (3)
19,1,
19,13477,"This course covers technologies for developing analytics applications. Topics include: fundamentals of business programming, sequential file processing, detail and summary reporting, and data validation. A-F grading only.Minimum grade requirement: B-."
19,1,
19,1908,BAN 602 - Quantitative Fundamentals for Analytics (3)
19,1,
19,6986,"Fundamental quantitative methods with software. Topics include: programming for data analysis, computational linear algebra, and quantitative methods. A-F grading only. Minimum grade requirement: B-."
19,1,
19,11658,REQUIRED COURSES (18 UNITS)
19,1,
19,11676,"Required courses will be taught with modern data analytics programming languages and tools, e.g., SQL, Hadoop, SAS, R, Python, Excel-based add-ins, etc."
19,1,
19,1909,BAN 610 Database Management and Applications (3)
19,1,
19,5295,"Data modeling, database design and implementation, database administration, and database applications. Topics include: database design, incorporating business rules into entity-relationship (ER) models, transformation of an ER model into a relational database design, normalization of database tables, and SQL languages. Prerequisites: BAN 601 and BAN 602 or consent of instructor. A-F grading only."
19,1,
19,1910,BAN 612 Data Analytics (3)
19,1,
19,5201,"Data collection, preparation, visualization, and analysis with software applications. Topics include: web scraping, Application Program Interface (API) data collection, data wrangling, visualization, data type and structure, and computational and quantitative methods. Prerequisites: BAN 601 and BAN 602 or consent of instructor. A-F grading only."
19,1,
19,1912,BAN 620 Data Mining (3)
19,1,
19,3739,"Course introduces the fundamental concepts of data mining and provides extensive hands-on experience in applying the concepts to real-world applications. Topics include dimension reduction, classification, association analysis, clustering and model evaluation techniques. Business applications of data mining techniques are emphasized.Prerequisites: BAN 602 or consent of instructor. A-F grading only."
19,1,
19,1913,BAN 622 Data Warehousing and Business Intelligence (3)
19,1,
19,5408,"Data warehousing and business intelligence concepts, design, implementation, and software tools. Topics include data warehouse architecture, dimensional model design, data integration and visualization, business intelligence reporting and dashboards. Prerequisites: BAN 610 or consent of instructor. A-F grading only."
19,1,
19,1914,BAN 630 Optimization Methods for Analytics (3)
19,1,
19,5592,"Determining the best solution among various choices, suggesting decision options, and illustrating the implications of each option. Topics include: optimization methods, queuing models, simulation, and application-based software.Prerequisites: BAN 602 or consent of instructor. A-F grading only."
19,1,
19,1915,BAN 632 Big Data Technology and Applications (3)
19,1,
19,13474,"This course covers key technologies and applications for big data analytics. Topics include: distributed file systems, big data input/output, streaming technologies, techniques for parallel processing, and big data application development.Prerequisites: BAN 601 and BAN 602 or consent of instructor. A-F grading only."
19,1,
19,6375,ELECTIVE COURSES (9 UNITS)
19,1,
19,11918,Select three courses from the following:
19,1,
19,1916,BAN 660 Advanced Topics in Big Data
19,1,
19,10602,"Newest technologies for Big Data analytics. Topics include: new tools, algorithms, and platforms for Big Data storage, processing, analysis, visualization, and application."
19,1,
19,1917,BAN 670 Advanced Topics in Analytics
19,1,
19,11597,"Recent development in various topics of analytics, which include, but not limited to, advanced data visualization, machine learning, text mining and web analytics, natural language processing, and industrial applications of data analytics."
19,1,
19,1918,BAN 671 Data Analytics with R
19,1,
19,6858,"Focus on applying business analytics techniques using R programming. Emphasis on using R syntax and packages for data manipulation, visualization and advanced analytics in the context of business environment."
19,1,
19,1919,BAN 672 Data Analytics with SAS
19,1,
19,6859,"Focus on applying business analytics techniques using SAS programming. Emphasis on using SAS syntax and modules for data manipulation, visualization and advanced analytics to solve real world business problems."
19,1,
19,1920,BAN 673 Time Series Analytics
19,1,
19,8091,"Introduces fundamental concepts and methods of time series analytics. Topics include evaluation of data patterns, moving averages, smoothing models, regression-based forecasting, and ARIMA models. Emphasis is on hands-on experience in applying time series analytics in business."
19,1,
19,1921,BAN 674 Machine Learning for Business Analytics
19,1,
19,3801,"Covers key topics in machine learning and their applications to business, including but not limited to, supervised and unsupervised learning, regularization, anomaly detection, and recommender systems."
19,1,
19,1922,BAN 675 Text Mining and Social Media Analytics
19,1,
19,3798,"Covers basic natural language processing techniques, document representation, text categorization, sentiment analysis, topic modeling, text visualization, and social media analytics."
19,1,
19,1923,BAN 676 Deep Learning for Business Applications
19,1,
19,3559,"Concepts, design and implementation of deep learning models for business analytics. Topics include Deep Neural Networks, Convolutional Neural Networks, Recurrent Neural Networks such as Long Short Term Memory and business value of deep learning technology."
19,1,
19,10262,MKTG 612 Marketing Analytics
19,1,
19,8978,"Marketing analytics metrics and models. Approach marketing issues analytically; make marketing decisions driven by quantitative evidence. Topics include resource allocation analytics, product analytics, marketing-mix analytics, customer analytics, and digital analytics. Quantitative techniques enforced through hands-on data analysis and case-based learning."
19,1,
19,9835,MGMT 616 People Analytics
19,1,
19,5147,"Data analysis of human resource management issues, such as recruitment, compensation, performance management, leadership, and employee engagement. Topics include systematic collection, analysis, and interpretation of data to enable strategic decision making for HR functions."
19,1,
19,9863,MGMT 654 Enterprise Planning and Control
19,1,
19,13241,"Techniques used in planning and scheduling resources with Enterprise Resource Planning (ERP) systems. Topics include demand forecasting, aggregate planning, material and capacity requirements planning, supply chain planning, global sourcing, and customer relationship management"
19,1,
19,9868,MGMT 658 Project Management
19,1,
19,11320,"Processes, tools and techniques required in managing projects such as product development, construction, information systems and new business. Topics include project scope, schedule, cost and resource management, risk management, managing teams and project control."
19,1,
19,2957,CAPSTONE EXPERIENCE (3 UNITS)
19,1,
19,1924,BAN 693 Business Analytics Capstone Project (3)
19,1,
19,13537,This course includes a project to solve a practical problem by applying and integrating the knowledge and skills learned in the Business Analytics degree program. The capstone project will use real business data from an identified organization. Prerequisites: All prerequisite and required courses. A-F grading only.
21,3122,CIS 111 - Introduction to Computer Programming Credits: 3
21,1,
21,10832,or
21,1,
21,3123,CIS 200 - Programming Fundamentals Credits: 4
21,1,
21,10832,or
21,1,
21,3124,CIS 209 - C Programming for Engineers Credits: 3
21,1,
21,6488,ENGL 516 - Written Communication for the Sciences Credits: 3
21,1,
21,9174,MATH 220 - Analytic Geometry and Calculus I Credits: 4
21,1,
21,9175,MATH 221 - Analytic Geometry and Calculus II Credits: 4
21,1,
