degree_id,course_id,course,done
2,2599,BIG DATA I,yes
2,2600,BIG DATA II,yes
2,2597,PREDICTIVE MODELING I,yes
2,2598,PREDICTIVE MODELING II,yes
2,2601,COMMUNICATING QUANTITATIVE RESULTS IN BUSINESS,yes
3,10172,Advanced Marketing Analysis,yes
3,7611,Global Business,yes
3,7612,Global Marketing Management,yes
3,7613,Advanced Import/Export Strategy,yes
3,10181,Capstone Project,yes
3,12161,Statistical Methods,yes
3,12149,Statistical Data Management,yes
3,12152,Advanced Statistical Data Management,yes
3,12153,Data Mining I,yes
3,12156,Advanced Data Mining,yes
4,12162,Statistical Methods I,yes
4,12149,Statistical Data Management,yes
4,12155,Knowledge Discovery and Data Mining I,yes
4,12156,Advanced Data Mining,yes
4,10704,Management Science and Spreadsheet Modeling,yes
4,10713,Systems Simulation,yes
4,75,Capstone Project,yes
4,10707,Supply Chain Modeling and Analysis,yes
4,10710,Production Scheduling Problems,yes
4,10711,Inventory Management,yes
4,10712,Manufacturing Scheduling and Control Systems,yes
4,12152,Advanced Statistical Data Management,yes
4,10060,Business Analytics Support Systems,yes
7,8259,Business Analytics,yes
7,8260,Network Analysis,yes
7,8261,Data Mining for Business Intelligence,yes
7,8263,Big Data,yes
9,8531,Seminar in Systems Development,yes
9,8535,Data Management Systems,yes
9,8538,Management of Information Technology Seminar,yes
9,1761,,yes
9,6512,Enterprise Resource Planning  Management,yes
9,6513,Enterprise Systems  Management,yes
9,7930,Information Technology Management,yes
9,12052,Software Engineering Management,yes
15,2251,Big Data Analytics and Visualization in Business,yes
15,2793,Business Data Mining,yes
15,2795,Business Data Warehouses and Dimensional Modeling,yes
15,2796,Business Database Systems Development,yes
15,2798,Business Decision Models,yes
15,2812,Business Information Systems Development,yes
15,6502,Enterprise Analytics,yes
15,8127,Introduction to Business Data Analytics,yes
15,8773,Logistics Management,yes
15,8982,Marketing and Business Performance,yes
15,10900,Organizations and Management leadership,yes
15,11086,Planning and Control Systems for Supply Chain Management,yes
15,12026,Social Media and Content Marketing,yes
15,13964,Web Design and Development,yes
16,10054,Business Analytics Foundation,yes
16,10053,Data Management for Decision Makers,yes
16,10052,Business Analytics Applications & Development,yes
16,10056,Business Process Management,yes
16,10057,Topics in Business Analytics,yes
16,10059,Analytics in Finance and Insurance,yes
16,10062,Social Media Analytics,yes
16,10063,Advanced Business Analytics,yes
16,10175,Marketing Analytics,yes
16,10048,Business Data,yes
16,12453,Applied Statistics Modeling,yes
16,12460,Data Visualization and Communication,yes
18,4456,Applied Programming,yes
18,4463,Computing Algorithms,yes
18,4464,Database Management,yes
18,13180,,yes
18,3491,Computational Statistics,yes
18,1356,Advanced Probability and Statistics,yes
18,12868,,yes
19,1907,Technology Fundamentals for Analytics,yes
19,1908,Quantitative Fundamentals for Analytics,yes
19,1909,Database Management and Applications,yes
19,1910,Data Analytics,yes
19,1912,Data Mining,yes
19,1913,Data Warehousing and Business Intelligence,yes
19,1914,Optimization Methods for Analytics,yes
19,1915,Big Data Technology and Applications,yes
19,1916,Advanced Topics in Big Data,yes
19,1917,Advanced Topics in Analytics,yes
19,1918,Data Analytics with R,yes
19,1919,Data Analytics with SAS,yes
19,1920,Time Series Analytics,yes
19,1921,Machine Learning for Business Analytics,yes
19,1922,Text Mining and Social Media Analytics,yes
19,1923,Deep Learning for Business Applications,yes
19,10262,Marketing Analytics,yes
19,9835,People Analytics,yes
19,9863,Enterprise Planning and Control,yes
19,9868,Project Management,yes
19,2957,CAPSTONE EXPERIENCE,yes
19,1924,Business Analytics Capstone Project,yes
21,3122,Introduction to Computer Programming,yes
21,3123,Programming Fundamentals,yes
21,3124,C Programming for Engineers,yes
21,6488,Written Communication for the Sciences,yes
21,9174,Analytic Geometry and Calculus I,yes
21,9175,Analytic Geometry and Calculus II,yes
21,9180,Analytic Geometry and Calculus III,yes
21,9326,Introduction to Linear Algebra,yes
21,9364,Applied Matrix Theory,yes
21,12302,Biometrics II,yes
21,12312,Business and Economic Statistics II,yes
21,12401,Introductory Probability and Statistics I,yes
