degree_id,course_id,course
2,2599,BIG DATA I
2,2600,BIG DATA II
2,2597,PREDICTIVE MODELING I
2,2598,PREDICTIVE MODELING II
2,2601,COMMUNICATING QUANTITATIVE RESULTS IN BUSINESS
3,10172,Advanced Marketing Analysis
3,7611,Global Business
3,7612,Global Marketing Management
3,7613,Advanced Import/Export Strategy
3,10181,Capstone Project
3,12161,Statistical Methods
3,12149,Statistical Data Management
3,12152,Advanced Statistical Data Management
3,12153,Data Mining I
3,12156,Advanced Data Mining
4,12162,Statistical Methods I
4,12149,Statistical Data Management
4,12155,Knowledge Discovery and Data Mining I
4,12156,Advanced Data Mining
4,10704,Management Science and Spreadsheet Modeling
4,10713,Systems Simulation
4,75,Capstone Project 
4,10707,Supply Chain Modeling and Analysis
4,10710,Production Scheduling Problems
4,10711,Inventory Management
4,10712,Manufacturing Scheduling and Control Systems
4,12152,Advanced Statistical Data Management
4,10060,Business Analytics Support Systems
7,8259,Business Analytics
7,8260,Network Analysis
7,8261,Data Mining for Business Intelligence
7,8263,Big Data
9,8531,Seminar in Systems Development
9,8535,Data Management Systems
9,8538,Management of Information Technology Seminar
9,1761,Areas of Concentration    s
9,6512,Enterprise Resource Planning  Management
9,6513,Enterprise Systems  Management
9,7930,Information Technology Management
9,12052,Software Engineering Management
15,2251,Big Data Analytics and Visualization in Business
15,2793,Business Data Mining
15,2795,Business Data Warehouses and Dimensional Modeling
15,2796,Business Database Systems Development
15,2798,Business Decision Models
15,2812,Business Information Systems Development
15,6502,Enterprise Analytics
15,8127,Introduction to Business Data Analytics
15,8773,Logistics Management
15,8982,Marketing and Business Performance
15,10900,Organizations and Management leadership
15,11086,Planning and Control Systems for Supply Chain Management
15,12026,Social Media and Content Marketing
15,13964,Web Design and Development
16,10054,Business Analytics Foundation*
16,10053,Data Management for Decision Makers*
16,10052,Business Analytics Applications & Development
16,10056,Business Process Management
16,10057,Topics in Business Analytics*
16,10059,Analytics in Finance and Insurance
16,10062,Social Media Analytics*
16,10063,Advanced Business Analytics*
16,10175,Marketing Analytics
16,10048,Business Data
16,12453,Applied Statistics Modeling*
16,12460,Data Visualization and Communication*
18,4456,Applied Programming 
18,4463,Computing Algorithms 
18,4464,Database Management
18,13180,Systems 
18,3491,Computational Statistics
18,1356,Advanced Probability and
18,12868,Statistics 
19,1907,Technology Fundamentals for Analytics 
19,1908,Quantitative Fundamentals for Analytics 
19,1909,Database Management and Applications 
19,1910,Data Analytics 
19,1912,Data Mining 
19,1913,Data Warehousing and Business Intelligence 
19,1914,Optimization Methods for Analytics 
19,1915,Big Data Technology and Applications 
19,1916,Advanced Topics in Big Data
19,1917,Advanced Topics in Analytics
19,1918,Data Analytics with R
19,1919,Data Analytics with SAS
19,1920,Time Series Analytics
19,1921,Machine Learning for Business Analytics
19,1922,Text Mining and Social Media Analytics
19,1923,Deep Learning for Business Applications
19,10262,Marketing Analytics
19,9835,People Analytics
19,9863,Enterprise Planning and Control
19,9868,Project Management
19,2957,CAPSTONE EXPERIENCE 
19,1924,Business Analytics Capstone Project 
21,3122,Introduction to Computer Programming : 
21,3123,Programming Fundamentals : 
21,3124,C Programming for Engineers : 
21,6488,Written Communication for the Sciences : 
21,9174,Analytic Geometry and Calculus I : 
21,9175,Analytic Geometry and Calculus II : 
21,9180,Analytic Geometry and Calculus III : 
21,9326,Introduction to Linear Algebra : 
21,9364,Applied Matrix Theory : 
21,12302,Biometrics II : 
21,12312,Business and Economic Statistics II : 
21,12401,Introductory Probability and Statistics I : 
21,12406,Introductory Probability and Statistics II : 
21,12665,Regression and Analysis of Variance : 
21,12671,Applied Linear Statistical Models : 
21,12681,Introduction to the SAS Computing : 
21,12686,Introduction to R Computing : 
21,12290,Introduction to Statistics : 
21,12301,Biometrics I : 
21,12309,Business and Economic Statistics I : 
21,12668,Sample Survey Methods : 
21,12675,Design of Experiments : 
23,1162,Financial Accounting 
23,1164,Seminar in Managerial Accounting 
23,6175,Microeconomic Perspective for Managers 
23,6723,Managerial Finance 
23,8345,Decision Models for Business and Economics 
23,6177,Macroeconomic Perspective for Managers  or
23,8346,Info Resources and IT Project Management  or
23,9814,Management of Information in the Corporate Environment 
23,9815,Operations Management 
23,9816,Legal and Ethical Environment of Business 
23,9818,Seminar in Organizational Behavior and Administration 
23,10250,Marketing Management 
24,7345, HEALTH INFORMATICS MANAGEMENT
24,7347, LEGAL ISSUES IN HEALTH INFORMATICS
24,7350, HEALTH INFORMATION SYSTEMS
24,7352, HEALTH RECORDS MANAGEMENT
24,7354, CLINICAL ANALYTICS
24,7358, HUMAN FACTORS AND USABILITY IN HEALTH INFORMATICS
24,7363, STANDARDIZED TERMINOLOGIES IN HEALTHCARE
24,7356, CLINICAL DECISION SUPPORT
24,7357, CHANGE MANAGEMENT IN HEALTH INFORMATICS
24,7359, HEALTH INFORMATICS INQUIRY AND ASSESSMENT
24,7360," ETHICS, POLITICS, & POLICY IN HEALTH INFORMATICS"
24,7361, PUBLIC HEALTH INFORMATICS
24,7362, CLINICAL ANALYTICS 2
24,7364, SEMINAR IN HEALTH INFORMATICS
24,7366, INDIVIDUAL INVESTIGATION IN HEALTH INFORMATICS
24,5919, PROJECT MANAGEMENT & TEAM DYNAMICS
24,8613, FOUNDATIONAL PRINCIPLES OF KNOWLEDGE MANAGEMENT
24,8616, BUSINESS PROCESS MANAGEMENT
24,8621, SEMANTIC ANALYSIS METHODS & TECHNOLOGIES
24,13908, INFORMATION ARCHITECTURE
24,4924,CULMINATING EXPERIENCE REQUIREMENT 
24,7367, MASTER'S INTERNSHIP IN HEALTH INFORMATICS
24,7368, MASTER'S PROJECT IN HEALTH INFORMATICS
24,7369, MASTER'S RESEARCH PAPER IN HEALTH INFORMATICS
24,7370, THESIS I
24,7344, Health Informatics Management
24,7349, Health Information Systems
25,2703,Managerial Economics 
25,2704,Strategic Management and Decision-making 
25,2705,Statistics for Business 
25,2706,Financial Management 
25,2707,Project Management 
25,2708,Enterprise Risk Management 
25,2709,Organizational Behavior and Human Resources
25,8907,Management
25,2710,Advanced Marketing Methods 
25,10695,of the specialization tracks listed below)
25,8772,Logistics and Supply Chain Management
25,12084,Specialization  
25,2712,Logistics and Supply Chain Management 
25,2713,Warehouse & Inventory Management 
25,2714,"Transportation, Containerization and Distribution"
25,10594,Networks
25,2715,Logistics IT and Information Management Systems 
25,7572,Human Resources Management Specialization (
25,2716,"Compensation, Reward and Recognition Systems "
25,2717,Employee Recruitment and Selection Methods 
25,2718,HR Systems and Workforce Analytics 
25,2719,Employee Performance Management and Development
25,12961,Strategies
25,5179,Data Analytics Specialization  
25,2720,Data Management and Governance 
25,2721,Data Mining for Business 
25,2722,Spreadsheet Modeling and Simulation 
25,2723,Data Reporting and Visualization 
25,2971,Capstone Project  
25,2942,Capstone Project 
26,10368,MSAIA Curriculum Overview
26,8852,IT Auditing 
26,8853,The Corporate Financial Reporting Environment 
26,8854,Forensic Accounting and Auditing 
26,8855,"Governance, Risk, and Control "
26,8856,Reporting and Auditing Fair Value Estimates 
26,8857,Data Analytics for Accountants 
27,5052,- Introduction to Data Mining and Analytics
27,5055,-Statistical Programming
27,5065,-Data Visualization
27,5067, Large-Scale Data Storage Systems
27,5068,Machine Learning
27,5047,- Mathematics for Data Science
27,3849,CPSC- - Programming Fundamentals
29,5941,Mathematics for Data Scientists
29,5945,Machine Learning and Data Analysis I
29,5947,Unstructured Data and Natural Language Processing
29,5949,Machine Learning and Data Analysis II
29,5951,Data Science Leadership and Entrepreneurism
29,5953,Distributed and Scalable Date Engineering
29,5955,Special Topics in Data Science
29,5958,Data Science Industry Internship
29,5962,Data Science Capstone Project
30,7409,Healthcare Information Analysis    s
30,7417,Leadership in Healthcare    s
30,7431,Capstone Project    s
30,7397,Healthcare Compliance    s
30,7398,Healthcare Inform Network Sys    s
30,7399,Database Architecture    s
30,7400,Medical Vocab and Class Systems    s
30,7403,Intro to Health Informatics    s
30,7404,Project Management    s
30,7406,Evaluation of Information System    s
30,7407,EHR Infrastructure    s
30,7408,Computerized Decision Support    s
31,4397,Introduction to Programming 
31,4398,Programming for Data Science 
31,12169,Statistical Computing 
31,5775,Introduction to Data Science 
31,12170,Linear Statistical Models 
31,4399,Machine Learning 
31,5776,Data Science Project
31,4400,Multimedia data analysis and mining 
31,4401,Data Visualization 
31,4402,Special Topics in Computer Science
31,4403,Independent Study
31,4404,Database Retrieval 
31,4405,Information Retrieval and Natural Language Processing 
31,12171,Multivariate Analysis 
31,12172,Generalized Linear Models and Multilevel Models 
31,12173,Bayesian Inference 
31,12174,Time Series 
31,12175,Special Topics in Statistics
31,12176,Independent Study
31,7016,Ethics and Social Responsibility
31,7017,Enterprise Systems
31,7015,GB/ Data Management and Database Systems
31,7019,Advanced Analytics
31,7020,Social Media and Web Mining
31,7018,Project Management
32,2648,A: Introduction to Business Analytics
32,2649,B: Business Research
32,2650,C: Data Mining
32,2651,D: Business Analytics Simulation
34,1815,"b) At least four of: CS , 224W, 229, 245, 246, 276, 345"
34,4374,","
35,4369,Social and Information Network Analysis
35,4370,Machine Learning
35,4371,Mining Massive Data Sets
35,4372,Information Retrieval and Web Search
36,12923,Data Mining and Analysis
36,12925,Introduction to Statistical Learning
36,12922,Introduction to Applied Statistics
36,12926,Introduction to Statistical Learning
36,12927,Computing for Data Science
36,12928,Modern Applied Statistics: Data Mining
38,3269,Numerical Linear Algebra 
38,3270,Discrete Mathematics and Algorithms 
38,3271,Optimization 
38,3272,Stochastic Methods in Engineering 
38,11592,Randomized Algorithms and Probabilistic Analysis 
38,12897,A Theory of Probability 
38,12894,Introduction to Statistical Inference 
38,10887,or STATS  Theory of Statistics I 3
38,12895,Introduction to Regression Models and Analysis of Variance 
38,10888,or STATS  Introduction to Statistical Modeling
38,12898,A Modern Applied Statistics: Learning -3
38,12899,B Modern Applied Statistics: Data Mining -3
38,1368,Advanced Scientific Programming; take  
38,3267,Advanced Software Development for Scientists and Engineers 
38,3268,"Introduction to parallel computing using MPI, openMP, and CUDA "
38,3274,Distributed Algorithms and Optimization 
38,3275,Parallel Methods in Numerical Analysis 
38,3894,Parallel Computing -4
38,3937,Advanced Multi-Core Systems 
38,3947,"C, offered in previous years, may also be counted"
38,2288,Representations and Algorithms for Computational Molecular Biology -4
38,2353,BIOMEDIN  Data Driven Medicine 3
38,2359,STATS  Modern Statistics for Modern Biology 3
38,3920,W Social and Information Network Analysis -4
38,3923,Machine Learning -4
38,3925,N Convolutional Neural Networks for Visual Recognition -4
38,3929,Mining Massive Data Sets -4
38,3993,Topics in Computer Graphics -4
38,6137,Machine Learning and Causal Inference 
38,6474,ENERGY  Geostatistics 3
38,10699,Business Intelligence from Big Data 
38,11458,A Human Neuroimaging Methods 
38,12896,Computing for Data Science 
38,11712,Requirement  : Practical Component
41,9968,Computer-Based Patient Records
41,8011,"Instructor: Mark Carroll, M.P.H."
41,9971,Clinical Data Acquisition and Analysis
41,8015,"Instructor: Naresh Baliga, M.S."
41,9972,Introduction to Health Informatics
41,8016,"Instructor: Nick Anderson, Ph.D."
41,9977,Health Informatics Seminar Series
41,8011,"Instructor: Mark Carroll, M.P.H."
41,9978,Research in Health Informatics 
41,13870,:  - 12
41,8010,Instructor: Health Informatics Graduate Program Faculty
41,9969,Medical Decision Support
41,8017,"Instructor: Prabhu Shankar, M.D., M.S."
41,9970,Health Informatics in Web-Based Enterprise
41,8012,"Instructor: Mark J. Carroll, M.P.H."
41,9973,Computer Security in Health Informatics
41,8018,"Instructor: Sean Peisert, Ph.D."
41,9974,E — Clinical Knowledge for the Health Informaticist
41,8017,"Instructor: Prabhu Shankar, M.D., M.S."
41,9975,F — Database and Knowledge Management
41,8014,"Instructor: Matthew Lange, Ph.D."
41,9976,I — Applied Progamming in Health Informatics
41,8013,"Instructor: Matt Bishop, Ph.D."
44,8183,Introduction to Predictive Analytics 
44,5541,Defining Business Goals for Predictive Analytics 
44,6331,Effective Data Preparation 
44,1416,"Algorithms, Modeling Methods, Verification & Validation "
44,5558,Deploying and Refining Predictive Models 
44,12098,Sports Predictive Analytics 
44,2843,Business Intelligence/Data Warehouse 
44,11175,Predictive HR and Workforce Analytics 
44,13258,Text Analytics & Text Mining 
44,2249,Big Data Analytics 
44,11584,R Programming 
44,7216,Hadoop: In Theory and Practice 
45,8196,Introduction to R Programming
45,13261,Text Mining
45,11510,Python for Informatics
45,5287,Data Mining Practicum
45,5291,Data Mining: Advanced Concepts and Algorithms
45,5301,Data Preparation for Analytics
45,6994,Fundamentals of Data Mining
45,12883,Statistics for Data Analytics
47,9955,"Professional Seminar,  "
47,9956,"Business Analytics in Marketing, Finance, and Operations,  "
47,9957,"Collecting and Analyzing Large Data,  "
47,9958,"Business Analytics,  "
47,9959,Business Analytics Capstone Project 
47,8759,List A :
47,9960,"Customer Analytics,  "
47,9961,"Supply Chain Analytics,  "
47,9962,Business Intelligence Systems;  
47,9963,"Experiments in Firms,  "
47,9964,"Managerial Judgment and Decision Making,  "
47,9965,"Business Analytics Project Management,  "
47,8760,List B :
47,9913,"Creativity and Innovation,  "
47,9914,"Technology and Innovation Strategy,  "
47,9915,"Research for Marketing Decisions,  "
47,9916,"Consumer Behavior,  "
47,9917,"Pricing,  "
47,9966,"Business Forecasting,  "
47,9967,"Behavioral Finance,  "
47,2965,Capstone Project
47,9959,Business Analytics Capstone Project 
54,7232,Fundamentals of Healthcare Insurance Design 
