quote_id,degree_id,code
647,2,Courses
2273,2,Skills
1774,3,Courses
3062,3,Impact
3062,3,Skills
480,3,Courses
3061,3,Mission
2270,4,Target group
2270,4,Skills
306,4,Courses
306,4,Requirements
221,7,Broader impact
1589,7,Courses
2873,7,Mission
2873,7,Skills
3045,7,Target group
3045,7,Impact
1599,9,Courses
562,9,Skills
1263,9,Impact
1263,9,Mission
1263,9,Jobs
617,15,Courses
271,15,Mission
2429,15,Impact
2429,15,Skills
2036,16,Courses
2610,16,Skills
2449,16,Impact
2449,16,Target group
2608,16,Mission
1278,16,Impact
1278,16,Skills
2327,16,Skills
1276,18,Skills
2875,18,Jobs
2559,18,Mission
993,18,Requirements
993,18,Requirements
968,18,Courses
1148,19,Target group
381,19,Impact
2007,19,Tools
2007,19,Skills
2934,19,Impact
1997,19,Mission
1113,19,Tools
1113,19,Skills
1997,19,NA
1829,19,Impact
3198,19,Courses
1824,19,Requirements
2203,21,Definition
759,21,Courses
1853,23,Mission
2763,23,Requirements
416,23,Courses
687,23,Requirements
1119,23,Courses
677,23,Requirements
730,23,Requirements
895,24,Courses
1931,24,Courses
751,24,Requirements
2060,24,Requirements
1659,24,Requirements
986,24,Requirements
407,24,[??]
2699,24,Impact
2699,24,Mission
277,24,Skills
1453,24,Skills
2641,24,Interdisciplinary
2021,24,Skills
2021,24,Impact
2656,25,Mission
3025,25,Target group
2597,25,[??]
859,25,Broader impact
1965,25,Skills
876,25,Requirements
669,25,Courses
2678,26,Mission
3233,26,Impact
3215,26,Skills
2285,26,Requirements
1792,26,Courses
2986,29,Mission
2239,29,Skills
264,29,Impact
2378,29,Jobs
2903,29,Jobs
1207,29,Courses
1208,29,Courses
1209,29,Courses
1210,29,Courses
1211,29,Courses
1212,29,Courses
1213,29,Courses
1215,29,Courses
1214,29,Courses
1216,29,Courses
1217,29,Courses
1467,30,Courses
2103,30,Requirements
1465,30,Courses
2349,30,Skills
2777,30,Mission
2781,30,Skills
2781,30,Mission
2781,30,Broader impact
3263,30,Impact
296,30,Impact
3193,31,Skills
3193,31,Tools
1662,31,Ethical issues
1662,31,[!!]
565,31,Ethical issues
1670,31,Requirements
3056,31,Interdisciplinary
2226,31,Tools
2226,31,Skills
1661,31,Ethical issues
831,31,Courses
430,31,Courses
818,31,Courses
1374,31,Ethical issues
1665,27,Mission
216,27,Skills
1960,27,Impact
541,27,Skills
1015,27,Courses
3375,32,Impact
666,32,Courses
1145,32,Target group
3190,32,Skills
1563,34,Definition
3186,34,Skills
2023,34,Skills
920,34,Courses
947,34,Courses
433,34,Requirements
946,34,Courses
961,34,Courses
960,35,Courses
3331,35,Mission
213,36,Courses
2068,36,Requirements
2206,36,Courses
2521,36,Impact
2521,36,Mission
3246,36,Skills
2550,38,Mission
2282,38,Requirements
903,38,Courses
2230,38,Requirements
2635,41,Mission
458,41,Skills
2295,41,Broader impact
2758,41,Requirements
2105,41,Skills
865,41,Courses
249,44,Definition
3199,44,Target group
3212,44,Skills
2053,44,Courses
1586,45,Courses
2373,45,Courses
2006,45,Courses
1050,45,Courses
1053,45,Courses
1055,45,Courses
1365,45,Courses
2202,45,Courses
274,45,Mission
1763,47,Courses
2711,47,Mission
2711,47,Skills
215,47,Skills
215,47,Impact
3241,47,Skills
2979,48,Mission
706,48,Interdisciplinary
706,48,Accreditation
2771,48,Skills
2118,49,Skills
2118,49,Tools
1440,54,Courses
2811,54,Mission
2099,54,Requirements
420,54,Skills
2380,54,Impact
1091,56,Impact
1668,56,Mission
238,56,Requirements
1904,56,Mission
1321,56,Courses
570,58,Mission
2493,58,Broader impact
766,58,Courses
670,58,Ethical issues
1269,59,Impact
220,59,Requirements
3402,59,Impact
3400,59,Skills
3393,59,Skills
765,59,Courses
3393,59,Skills
1380,60,Impact
1435,60,Courses
2155,60,Courses
1369,60,Skills
3298,60,Impact
3055,61,Mission
2044,61,[??]
1653,61,Skills
3313,61,Impact
3108,61,Requirements
780,62,Skills
780,62,Mission
1472,62,Impact
1472,62,Skills
1162,62,Skills
1162,62,Impact
1320,62,Courses
1533,64,Tools
1533,64,Skills
1533,64,Broader impact
568,64,Definition
1125,64,NA
2138,66,Target group
380,66,Jobs
3294,66,Target group
1510,66,Impact
3392,66,Ethical issues
3392,66,Broader impact
3408,66,Skills
571,66,Skills
1624,66,Ethical issues
1624,66,Broader impact
542,66,Ethical issues
542,66,Broader impact
2691,50,Target group
3023,50,Mission
3023,50,Skills
379,50,Impact
379,50,Impact
1493,50,Skills
1638,67,Impact
2785,67,Mission
3124,67,Impact
672,67,Courses
1941,70,Courses
2794,70,Requirements
685,70,Mission
701,71,Courses
2132,71,Requirements
2132,71,Courses
699,71,Courses
