<<<<<<< HEAD
degree_id,course_id,course
2,2599,big data i
2,2600,big data ii
2,2597,predictive modeling i
2,2598,predictive modeling ii
2,2601,communicating quantitative results in business
3,10172,advanced marketing analysis
3,7611,global business
3,7612,global marketing management
3,7613,advanced import/export strategy
3,10181,capstone project
3,12161,statistical methods
3,12149,statistical data management
3,12152,advanced statistical data management
3,12153,data mining i
3,12156,advanced data mining
4,12162,statistical methods i
4,12149,statistical data management
4,12155,knowledge discovery and data mining i
4,12156,advanced data mining
4,10704,management science and spreadsheet modeling
4,10713,systems simulation
4,75,capstone project
4,10707,supply chain modeling and analysis
4,10710,production scheduling problems
4,10711,inventory management
4,10712,manufacturing scheduling and control systems
4,12152,advanced statistical data management
4,10060,business analytics support systems
7,8259,business analytics
7,8260,network analysis
7,8261,data mining for business intelligence
7,8263,big data
9,8531,seminar in systems development
9,8535,data management systems
9,8538,management of information technology seminar
9,6512,enterprise resource planning  management
9,6513,enterprise systems  management
9,7930,information technology management
9,12052,software engineering management
15,2251,big data analytics and visualization in business
15,2793,business data mining
15,2795,business data warehouses and dimensional modeling
15,2796,business database systems development
15,2798,business decision models
15,2812,business information systems development
15,6502,enterprise analytics
15,8127,introduction to business data analytics
15,8773,logistics management
15,8982,marketing and business performance
15,10900,organizations and management leadership
15,11086,planning and control systems for supply chain management
15,12026,social media and content marketing
15,13964,web design and development
16,10054,business analytics foundation
16,10053,data management for decision makers
16,10052,business analytics applications & development
16,10056,business process management
16,10057,topics in business analytics
16,10059,analytics in finance and insurance
16,10062,social media analytics
16,10063,advanced business analytics
16,10175,marketing analytics
16,10048,business data
16,12453,applied statistics modeling
16,12460,data visualization and communication
18,4456,applied programming
18,4463,computing algorithms
18,4464,database management
18,3491,computational statistics
18,1356,advanced probability and statistics
19,1907,technology fundamentals for analytics
19,1908,quantitative fundamentals for analytics
19,1909,database management and applications
19,1910,data analytics
19,1912,data mining
19,1913,data warehousing and business intelligence
19,1914,optimization methods for analytics
19,1915,big data technology and applications
19,1916,advanced topics in big data
19,1917,advanced topics in analytics
19,1918,data analytics with r
19,1919,data analytics with sas
19,1920,time series analytics
19,1921,machine learning for business analytics
19,1922,text mining and social media analytics
19,1923,deep learning for business applications
19,10262,marketing analytics
19,9835,people analytics
19,9863,enterprise planning and control
19,9868,project management
19,2957,capstone experience
19,1924,business analytics capstone project
21,3122,introduction to computer programming
21,3123,programming fundamentals
21,3124,c programming for engineers
21,6488,written communication for the sciences
21,9174,analytic geometry and calculus i
21,9175,analytic geometry and calculus ii
21,9180,analytic geometry and calculus iii
21,9326,introduction to linear algebra
21,9364,applied matrix theory
21,12302,biometrics ii
21,12312,business and economic statistics ii
21,12401,introductory probability and statistics i
21,12406,introductory probability and statistics ii
21,12665,regression and analysis of variance
21,12671,applied linear statistical models
21,12681,introduction to the sas computing
21,12686,introduction to r computing
21,12290,introduction to statistics
21,12301,biometrics i
21,12309,business and economic statistics i
21,12668,sample survey methods
21,12675,design of experiments
23,1162,financial accounting
23,1164,seminar in managerial accounting
23,6175,microeconomic perspective for managers
23,6723,managerial finance
23,8345,decision models for business and economics
23,6177,macroeconomic perspective for managers
23,8346,info resources and it project management
23,9814,management of information in the corporate environment
23,9815,operations management
23,9816,legal and ethical environment of business
23,9818,seminar in organizational behavior and administration
23,10250,marketing management
24,7345,health informatics management
24,7347,legal issues in health informatics
24,7350,health information systems
24,7352,health records management
24,7354,clinical analytics
24,7358,human factors and usability in health informatics
24,7363,standardized terminologies in healthcare
24,7356,clinical decision support
24,7357,change management in health informatics
24,7359,health informatics inquiry and assessment
24,7360,"ethics, politics, & policy in health informatics"
24,7361,public health informatics
24,7362,clinical analytics 2
24,7364,seminar in health informatics
24,7366,individual investigation in health informatics
24,5919,project management & team dynamics
24,8613,foundational principles of knowledge management
24,8616,business process management
24,8621,semantic analysis methods & technologies
24,13908,information architecture
24,7367,master's internship in health informatics
24,7368,master's project in health informatics
24,7369,master's research paper in health informatics
24,7370,thesis
25,2703,managerial economics
25,2704,strategic management and decision-making
25,2705,statistics for business
25,2706,financial management
25,2707,project management
25,2708,enterprise risk management
25,2709,organizational behavior and human resources
25,8907,management
25,2710,advanced marketing methods
25,8772,logistics and supply chain management
25,2713,warehouse & inventory management
25,2714,"transportation, containerization and distribution networks"
25,2715,logistics it and information management systems
25,7572,human resources management specialization
25,2716,"compensation, reward and recognition systems"
25,2717,employee recruitment and selection methods
25,2718,hr systems and workforce analytics
25,2719,employee performance management and development strategies
25,5179,data analytics specialization
25,2720,data management and governance
25,2721,data mining for business
25,2722,spreadsheet modeling and simulation
25,2723,data reporting and visualization
25,2971,capstone project
26,10368,msaia curriculum overview
26,8852,it auditing
26,8853,the corporate financial reporting environment
26,8854,forensic accounting and auditing
26,8855,"governance, risk, and control"
26,8856,reporting and auditing fair value estimates
26,8857,data analytics for accountants
29,5052,mathematics for data scientists
29,5055,machine learning and data analysis i
29,5065,unstructured data and natural language processing
29,5067,machine learning and data analysis ii
29,5068,data science leadership and entrepreneurism
29,5047,distributed and scalable date engineering
29,3849,special topics in data science
29,5941,data science industry internship
29,5945,data science capstone project
30,5947,healthcare information analysis
30,5949,leadership in healthcare
30,5951,capstone project
30,5953,healthcare compliance
30,5955,healthcare inform network sys
30,5958,database architecture
30,5962,medical vocab and class systems
30,7409,intro to health informatics
30,7417,project management
30,7431,evaluation of information system
30,7397,ehr infrastructure
30,7398,computerized decision support
31,7399,introduction to programming
31,7400,programming for data science
31,7403,statistical computing
31,7404,introduction to data science
31,7406,linear statistical models
31,7407,machine learning
31,7408,data science project
31,4397,multimedia data analysis and mining
31,4398,data visualization
31,12169,special topics in computer science
31,5775,independent study
31,12170,database retrieval
31,4399,information retrieval and natural language processing
31,5776,multivariate analysis
31,4400,generalized linear models and multilevel models
31,4401,bayesian inference
31,4402,time series
31,4403,special topics in statistics
31,4405,ethics and social responsibility
31,12171,enterprise systems
31,12172,data management and database systems
31,12173,advanced analytics
31,12174,social media and web mining
31,12175,project management
27,12176,introduction to data mining and analytics
27,7016,statistical programming
27,7017,data visualization
27,7015,large-scale data storage systems
27,7019,machine learning
27,7020,mathematics for data science
27,7018,programming fundamentals
32,2648,introduction to business analytics
32,2649,business research
32,2650,data mining
32,2651,business analytics simulation
35,4369,social and information network analysis
35,4370,machine learning
35,4371,mining massive data sets
35,4372,information retrieval and web search
36,12923,data mining and analysis
36,12925,introduction to statistical learning
36,12922,introduction to applied statistics
36,12927,computing for data science
36,12928,modern applied statistics: data mining
38,3269,numerical linear algebra
38,3270,discrete mathematics and algorithms
38,3272,stochastic methods in engineering
38,11592,randomized algorithms and probabilistic analysis
38,12897,theory of probability
38,12894,introduction to statistical inference
38,12895,introduction to regression models and analysis of variance
38,10888,introduction to statistical modeling
38,12898,modern applied statistics
38,3267,advanced software development for scientists and engineers
38,3268,"introduction to parallel computing using mpi, openmp, and cuda"
38,3274,distributed algorithms and optimization
38,3275,parallel methods in numerical analysis
38,3894,parallel computing
38,3937,advanced multi-core systems
38,2288,representations and algorithms for computational molecular biology
38,2353,data driven medicine
38,2359,modern statistics for modern biology
38,3920,social and information network analysis
38,3923,machine learning
38,3925,n convolutional neural networks for visual recognition
38,3929,mining massive data sets
38,3993,topics in computer graphics
38,6137,machine learning and causal inference
38,6474,geostatistics
38,10699,business intelligence from big data
38,11458,human neuroimaging methods
38,12896,computing for data science
41,9968,computer-based patient records
41,9971,clinical data acquisition and analysis
41,9972,introduction to health informatics
41,9977,health informatics seminar series
41,9978,research in health informatics
41,9969,medical decision support
41,9970,health informatics in web-based enterprise
41,9973,computer security in health informatics
41,9974,clinical knowledge for the health informaticist
41,9975,database and knowledge management
41,9976,applied progamming in health informatics
44,8183,introduction to predictive analytics
44,5541,defining business goals for predictive analytics
44,6331,effective data preparation
44,1416,"algorithms, modeling methods, verification & validation"
44,5558,deploying and refining predictive models
44,12098,sports predictive analytics
44,2843,business intelligence data warehouse
44,11175,predictive hr and workforce analytics
44,13258,text analytics & text mining
44,2249,big data analytics
44,11584,r programming
44,7216,hadoop: in theory and practice
45,8196,introduction to r programming
45,13261,text mining
45,11510,python for informatics
45,5287,data mining practicum
45,5291,data mining: advanced concepts and algorithms
45,5301,data preparation for analytics
45,6994,fundamentals of data mining
45,12883,statistics for data analytics
47,9955,"professional seminar,"
47,9956,"business analytics in marketing, finance, and operations,"
47,9957,"collecting and analyzing large data,"
47,9958,"business analytics,"
47,9959,business analytics capstone project
47,9960,customer analytics
47,9961,supply chain analytics
47,9962,business intelligence systems
47,9963,experiments in firms
47,9964,managerial judgment and decision making
47,9965,business analytics project management
47,9913,creativity and innovation
47,9914,technology and innovation strategy
47,9915,research for marketing decisions
47,9916,consumer behavior
47,9917,pricing
47,9966,business forecasting
47,9967,behavioral finance
47,2965,capstone project
54,7232,fundamentals of healthcare insurance design
54,7233,comparative international healthcare systems
54,7234,competitive healthcare intelligence and pricing
54,7235,foundations of insurance and global access
54,7236,foundations of product development and commercialization
54,7237,business implications of healthcare reform
54,7238,medical decision analysis and modeling
54,7239,health economics and outcomes methodology
54,7240,healthcare literature analysis and applications
54,7241,total product development
54,7242,executive leadership and healthcare marketing
54,7243,healthcare innovation: creativity to value
54,7244,advanced pricing strategies
54,7245,managing effective partnerships and mergers
54,7246,"asia-pacific: access, delivery, and reimbursement"
54,7247,seminars in healthcare decision analysis
54,7248,directed research
54,2965,capstone project
56,159,relational databases
56,135,linear algebra for data science
56,160,research methods for data science
56,85,analytics computing for data science
56,120,frequentist statistics
56,90,bayesian statistics
56,166,software methods for data science
56,142,nosql databases
56,129,introduction to data visualization
56,136,machine learning for data science
56,104,data wrangling
56,101,data engineering for data science
56,86,analytics storytelling
56,110,dynamic visualization
56,172,visual storytelling
56,94,capstone
58,8916,management of information systems
58,7924,information systems strategic planning
58,13248,telecommunications
58,10688,object oriented analysis & design with uml
58,11615,relational database design
58,2803,business ethics
58,12953,strategic management of technology and innovation
58,13183,systems design
58,13971,website development with html/javascript
58,5524,decision support systems
58,6461,emerging technologies
58,6766,final proctored exam
58,7141,graduate capstone
59,3178,business intelligence
59,3186,applied data mining and analytics in business
59,3188,business data visualization
59,10845,business database systems
60,7199,math skills for statistical analysis
60,7200,computing skills for statistical analysis
60,12390,statistical computer packages
60,12236,regression models and applications
60,12237,generalized regression models
60,12238,probability with applications
60,12239,mathematical statistics with applications
60,12240,quantitative reasoning
60,12241,computational and graphical methods
60,12242,computational and simulation methods
60,12243,methods in multivariate analysis
67,10423,survey of business analytics
67,10429,fundamentals of data analytics
67,10421,quantitative methods
67,10428,structured data modeling & analysis
67,10433,market intelligence
67,1754,digital advertising
67,10424,advanced data analytics
67,10425,unstructured & distributed data modeling & analysis
67,10427,customer analytics
67,1755,applications of advanced statistics in advertising
67,10426,experiential projects class
67,2744,business analytics
67,11878,security analytics track
67,10432,information security management
67,13731,internet lab
67,13732,network security lab
67,228,security analytics w/python
67,9483,introduction to mathematical statistics
67,9481,intermediate numerical analysis 1
67,9484,introduction to time series
67,9482,introduction to operations research
70,11177,predictive modeling
70,12881,statistics for business analytics
70,10785,operations management
70,11379,project management
70,5504,decision analysis
70,6866,forecasting
70,13135,supply chain management
70,8995,marketing research
70,3528,computing for business analytics
70,11993,simulation modeling
70,13920,vba for business analytics
71,8406,database management systems
71,8408,business intelligence systems and analytics
71,8407,information systems management and strategy
71,8409,"cloud computing concepts, tools, and applications"
71,8410,information systems security and privacy
71,8411,it project management
71,8412,text data analytics and predictive modeling
71,8413,data warehouse and administration
71,8414,business intelligence in healthcare
71,8415,business intelligence and financial modeling
71,8416,it governance and service management
71,1946,predictive analytics
72,8406,database management systems
72,8408,business intelligence systems and analytics
72,8407,information systems management and strategy
72,8409,"cloud computing concepts, tools, and applications"
72,8410,information systems security and privacy
72,8411,it project management
72,8412,text data analytics and predictive modeling
72,8413,data warehouse and administration
72,8414,business intelligence in healthcare
72,8415,business intelligence and financial modeling
72,8416,it governance and service management
72,1946,predictive analytics
74,7749,business intelligence
74,7751,business databases
74,7750,python for business analytics
74,12369,business statistics
74,7761,optimization
74,7752,capstone planning
74,7753,data warehousing
74,7754,project management
74,7755,predictive analytics
74,7756,data mining & visualization
74,7757,complex data analytics
74,7758,decision processes
74,7759,capstone
74,7760,health informatics
74,7763,automated data analytics
75,12436,multivariate analysis for data mining
75,12439,introduction to data mining
75,12442,clustering and affinity analysis
75,12447,predictive analytics
75,12455,data mining for genomics and proteomics
75,12459,text mining
75,4111,machine learning
75,4125,topics in database systems and applications: data mining
75,12362,experimental design
75,12365,fundamentals of sas
75,12372,nonparametric statistics
75,12450,web mining
75,12463,current issues in data mining
75,12476,applied categorical data analysis
76,12440,introduction to data mining
76,12443,data mining methods and models
76,12446,applied data mining
76,12449,web mining
76,12454,data mining for genomics and proteomics
76,12458,text mining
76,12462,current issues in data mining
80,7460,health database design and management
80,7465,healthcare information system and management
80,7468,health data mining
84,8139,introduction to data analytics
84,9014,massive data fundamentals
84,11809,scientific and analytical visualization
84,11286,probabilistic modeling and statistical computing
84,12838,statistical learning for analytics
84,6333,effective presentation for technology & science
84,12978,structures and algorithms for analytics
84,10809,optimization
84,10584,natural language processing for data analytics
84,10596,neural networks and deep learning
84,1355,advanced pattern recognition
84,2314,bioinformatics for omics data
84,8087,intro to social network analysis
84,7678,image processing
84,5302,data privacy
84,12841,statistical machine learning
84,13968,web search and sense-making
84,9519,mathematics of social networks
