degree_id,degree_level,degree_name,degree_type,degree_url,degree_category,degree_data_sci_flag,department_name,department_type,institution_name,institution_carnegie,institution_state,institution_city
1,certificate,Graduate Certificate in Business Analytics,Business Analytics,http://harbert.auburn.edu/academics/graduate-certificates/business-analytics/,Business,FALSE,Raymond J. Harbert College of Business,Business/Management,Auburn University,R2,AL,Auburn
2,bachelors,Data Science,Data Science,http://harbert.auburn.edu/academics/undergraduate/business-analytics/index.php,Data,TRUE,Raymond J. Harbert College of Business,Business/Management,Auburn University,R2,AL,Auburn
3,masters,"Master of Science in Marketing, Specialization in Marketing Analytics",Business Analytics,https://bamabydistance.ua.edu/degrees/ms-in-marketing-with-a-specialization-in-marketing-analytics/index.php,Business,FALSE,Manderson Graduate School of Business,Business/Management,University of Alabama,R1,AL,Tuscaloosa
4,masters,MS in Operations Management - Decision Analytics Track,Business Analytics,https://bamabydistance.ua.edu/degrees/ms-in-operations-management-online/curriculum/decision-analytics-track.php,Business,FALSE,Manderson Graduate School of Business,Business/Management,University of Alabama,R1,AL,Tuscaloosa
7,bachelors,Business Data Analytics,Business Analytics,https://www.atu.edu/business/stulrn_busanalytics.php,Business,FALSE,Business,Business/Management,Arkansas Tech University,M1,AR,Russellville
9,masters,Master of Information Systems with Business Analytics Concentration,Business Analytics,https://walton.uark.edu/graduate-programs/master-of-information-systems/index.php,Business,FALSE,Sam M. Walton College of Business,Business/Management,University of Arkansas,R1,AR,Fayetteville
15,bachelors,Business Data Analytics,Business Analytics,https://wpcarey.asu.edu/undergraduate-degrees/business-data-analytics,Business,FALSE,W.P. Carey School of Business,Business/Management,Arizona State University,R1,AZ,Tempe
16,masters,Master of Science in Business Analytics,Business Analytics,https://wpcarey.asu.edu/masters-programs/business-analytics,Business,FALSE,W.P. Carey School of Business,Business/Management,Arizona State University,R1,AZ,Tempe
18,bachelors,Data Science Minor,Data Science,https://statistics.calpoly.edu/data-science-minor,Data,TRUE,College of Science and Mathematics,Mathematics/Statistics,California Polytechnic State University,M1,CA,San Luis Obispo
19,masters,Master of Science in Business Administration: Business Analytics Option,Business Analytics,https://www.csueastbay.edu/msba/index.html,Business,FALSE,College of Business and Economics,Business/Management,California State University – East Bay,M1,CA,Hayward
21,certificate,Certificate in Data Science,Data Science,https://extension.fullerton.edu/professionaldevelopment/certificates/data-science,Data,TRUE,University Extended Education,Data Science,California State University – Fullerton,R3,CA,Fullerton
23,masters,MBA with Business Analytics,Business Analytics,https://catalog.fullerton.edu/preview_program.php?catoid=2&poid=473&returnto=143,Business,FALSE,Mihaylo College of Business and Economics,Business/Management,California State University – Fullerton,R3,CA,Fullerton
24,masters,Master of Science in Applied Statistics,Applied Statistics,http://catalog.csulb.edu/preview_program.php?catoid=2&poid=693,Math,FALSE,Department of Mathematics and Statistics,Mathematics/Statistics,California State University – Long Beach,M1,CA,Long Beach
